Názov obce,GPS,Názov obce (google maps),Okres,GPS,Okres (google maps),Čas autom,Čas autom (sekundy),Vzdialenosť autom,Vzdialenosť autom (metre)
Tŕnie,"[48.60079419, 19.02420943]","Unnamed Road, 962 34 Tŕnie, Slovakia",Zvolen,"[48.54030062, 19.16449072]","Unnamed Road, 960 01 Zvolen, Slovakia",24 mins,1455,18.8 km,18753
Turová,"[48.60283598, 19.05711717]","Turová 101, 962 34 Turová, Slovakia",Zvolen,"[48.54030062, 19.16449072]","Unnamed Road, 960 01 Zvolen, Slovakia",21 mins,1236,15.6 km,15615
Zvolenská Slatina,"[48.54387776, 19.24917189]","Unnamed Road, 962 01 Zvolenská Slatina, Slovakia",Zvolen,"[48.54030062, 19.16449072]","Unnamed Road, 960 01 Zvolen, Slovakia",21 mins,1283,14.8 km,14777
Železná Breznica,"[48.63591064, 19.00831746]","Unnamed Road, 962 34 Železná Breznica, Slovakia",Zvolen,"[48.54030062, 19.16449072]","Unnamed Road, 960 01 Zvolen, Slovakia",32 mins,1896,25.5 km,25477
Lukavica,"[48.64566776, 19.21139106]","Lukavická 1374/33, 962 31 Lukavica, Slovakia",Zvolen,"[48.54030062, 19.16449072]","Unnamed Road, 960 01 Zvolen, Slovakia",27 mins,1639,24.3 km,24277
Lieskovec,"[48.58392691, 19.19350973]","Hájik 2761/14, 962 21 Lieskovec, Slovakia",Zvolen,"[48.54030062, 19.16449072]","Unnamed Road, 960 01 Zvolen, Slovakia",15 mins,875,9.0 km,8951
Veľká Lúka,"[48.63087089, 19.17364457]","2450, 962 31 Sliač, Slovakia",Zvolen,"[48.54030062, 19.16449072]","Unnamed Road, 960 01 Zvolen, Slovakia",24 mins,1444,18.7 km,18722
Holiare,"[47.82954469, 17.81037921]","Holiare 102, 946 16 Holiare, Slovakia",Komárno,"[47.78538585, 18.10203607]","Nová Osada 2416/34, 945 01 Komárno-Nová Osada, Slovakia",29 mins,1747,27.7 km,27700
Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",1 min,0,1 m,0
Babinec,"[48.51810083, 20.00283738]","980 26 Babinec, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",25 mins,1507,19.9 km,19888
Barca,"[48.36796202, 20.23764725]","Unnamed Road, 982 51 Barca, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",25 mins,1508,21.3 km,21312
Bátka,"[48.37117797, 20.15478925]","Unnamed Road, 980 21 Bátka, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",20 mins,1172,15.0 km,14990
Belín,"[48.34078663, 20.10942819]","2771, 980 01 Belín, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",16 mins,988,12.9 km,12887
Blhovce,"[48.27139352, 19.93767196]","980 32 Blhovce, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",30 mins,1775,24.7 km,24684
Bottovo,"[48.31916058, 20.14525138]","980 41 Bottovo, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",19 mins,1133,15.2 km,15234
Budikovany,"[48.48991415, 20.09204979]","2753, 980 23 Budikovany, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",23 mins,1385,17.9 km,17940
Cakov,"[48.33404654, 20.21804034]","2799, 980 42 Cakov, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",24 mins,1428,20.9 km,20914
Čerenčany,"[48.41080072, 19.99524658]","Sady 119, 979 01 Čerenčany, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",9 mins,539,6.0 km,5959
Čierny Potok,"[48.30049124, 19.93780198]","980 31 Čierny Potok, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",31 mins,1873,24.5 km,24512
Číž,"[48.31095009, 20.27219558]","Číž, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",26 mins,1584,25.3 km,25270
Dolné Zahorany,"[48.35184057, 19.90685124]","985 42 Dolné Zahorany, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",13 mins,808,11.9 km,11877
Dražice,"[48.43233191, 20.06101518]","2746, 980 23 Dražice, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",13 mins,785,9.5 km,9524
Drienčany,"[48.48453992, 20.06665005]","980 23 Drienčany, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",24 mins,1434,18.0 km,18036
Drňa,"[48.25188456, 20.12196052]","Unnamed Road, 980 03 Drňa, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",26 mins,1545,19.4 km,19403
Dubno,"[48.19556311, 20.0061772]","980 35 Dubno, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",40 mins,2376,34.0 km,33997
Dubovec,"[48.29392795, 20.14641025]","Unnamed Road, 980 41 Dubovec, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",23 mins,1378,19.1 km,19115
Figa,"[48.40178157, 20.25039444]","2761, 982 51 Figa, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",23 mins,1407,21.3 km,21287
Gemerček,"[48.32495283, 19.99762925]","2742, 980 31 Gemerček, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",20 mins,1190,10.1 km,10069
Gemerské Dechtáre,"[48.23798543, 20.02030825]","Unnamed Road, 980 04 Gemerské Dechtáre, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",33 mins,1973,26.1 km,26056
Gemerský Jablonec,"[48.19567792, 19.98603248]","2790, 980 35 Gemerský Jablonec, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",39 mins,2321,34.5 km,34542
Gortva,"[48.28296104, 19.99562088]","Unnamed Road, 980 02 Gortva, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",29 mins,1758,21.2 km,21197
Hajnáčka,"[48.22566626, 19.95824485]","Hajnáčka 430, 980 33 Hajnáčka, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",35 mins,2128,31.1 km,31139
Hnúšťa,"[48.59126163, 19.96174352]","Hlavná 3625, 981 01 Hnúšťa, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",27 mins,1609,26.5 km,26483
Hodejov,"[48.30456999, 19.97683683]","980 31 Hodejov, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",26 mins,1571,20.4 km,20411
Hodejovec,"[48.27037324, 20.00445338]","Unnamed Road, 980 02 Hodejovec, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",29 mins,1721,20.8 km,20762
Horné Zahorany,"[48.47199346, 19.99789126]","980 26 Horné Zahorany, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",19 mins,1114,14.2 km,14235
Hostice,"[48.2332684, 20.08361937]","980 04 Hostice, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",31 mins,1840,25.0 km,25024
Hostišovce,"[48.49850186, 20.12174712]","980 23 Hostišovce, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",29 mins,1739,20.5 km,20469
Hrachovo,"[48.45962154, 19.92380124]","980 52 Hrachovo, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",24 mins,1441,22.6 km,22556
Hrušovo,"[48.51963292, 20.04116402]","Unnamed Road, 980 25 Hrušovo, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",30 mins,1808,22.9 km,22868
Hubovo,"[48.4002636, 20.38562562]","Unnamed Road, 980 50 Hubovo, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",37 mins,2190,33.7 km,33683
Husiná,"[48.33496795, 19.89682992]","Unnamed Road, 985 42 Husiná, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",17 mins,1031,13.7 km,13711
Chanava,"[48.33435572, 20.29612719]","Chanava 234, 980 44 Chanava, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",32 mins,1912,31.7 km,31669
Chrámec,"[48.27090574, 20.17453143]","Unnamed Road, 980 42 Chrámec, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",27 mins,1614,23.0 km,23010
Ivanice,"[48.32995168, 20.23791607]","Ivanice 55, 980 42 Ivanice, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",28 mins,1654,25.1 km,25111
Janice,"[48.26719968, 20.20633603]","Unnamed Road, 980 42 Janice, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",28 mins,1707,23.5 km,23495
Jesenské,"[48.29501768, 20.05789739]","Cifra 524, 980 02 Jesenské-Cifra, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",21 mins,1260,15.5 km,15490
Jestice,"[48.21113189, 20.06561597]","980 04 Jestice, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",33 mins,1960,26.9 km,26885
Kaloša,"[48.41467277, 20.22389534]","982 52 Kaloša, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",26 mins,1579,23.8 km,23823
Kesovce,"[48.40612314, 20.40973441]","Unnamed Road, 980 45 Kesovce, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",42 mins,2548,35.9 km,35926
Klenovec,"[48.64684355, 19.83354977]","Pavlov Grúň 1037, 980 55 Klenovec, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",54 mins,3229,38.5 km,38456
Kociha,"[48.4828599, 19.92045749]","Unnamed Road, 980 52 Kociha, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",22 mins,1348,15.0 km,15015
Konrádovce,"[48.30161216, 19.90169196]","Konrádovce 10, 980 32 Konrádovce, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",30 mins,1810,20.2 km,20187
Kráľ,"[48.34481142, 20.35923268]","Unnamed Road, 980 45 Kráľ, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",37 mins,2194,36.3 km,36320
Kraskovo,"[48.49807713, 19.98302675]","Unnamed Road, 980 26 Kraskovo, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",25 mins,1480,19.2 km,19183
Krokava,"[48.63814237, 20.00668575]","Unnamed Road, 982 67 Krokava, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",1 hour 0 mins,3607,47.7 km,47712
Kružno,"[48.41396133, 19.92839149]","2773, 979 01 Kružno, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",11 mins,662,9.0 km,9016
Kyjatice,"[48.54090539, 20.0068519]","Unnamed Road, 980 54 Kyjatice, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",32 mins,1949,24.3 km,24260
Lehota nad Rimavicou,"[48.52574513, 19.87367121]","2776, 980 53 Lehota nad Rimavicou, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",22 mins,1341,22.2 km,22175
Lenartovce,"[48.29781514, 20.30666241]","Lenartovce 87, 980 44 Lenartovce, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",31 mins,1855,29.2 km,29183
Lenka,"[48.38995854, 20.34560598]","Lenka 70, 980 50 Lenka, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",29 mins,1747,30.0 km,29993
Lipovec,"[48.54432838, 20.07290123]","980 23 Lipovec, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",36 mins,2140,27.5 km,27490
Lukovištia,"[48.48269087, 20.02262132]","Unnamed Road, 980 26 Lukovištia, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",23 mins,1378,17.5 km,17526
Martinová,"[48.30361499, 20.17522014]","Unnamed Road, 980 41 Martinová, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",19 mins,1157,17.7 km,17742
Neporadza,"[48.36827853, 20.3919374]","Neporadza 75, 980 45 Neporadza, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",34 mins,2055,36.8 km,36819
Nová Bašta,"[48.17449443, 19.93171287]","Unnamed Road, 980 34 Nová Bašta, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",49 mins,2928,40.7 km,40692
Orávka,"[48.31209733, 20.19351145]","980 42 Orávka, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",22 mins,1299,20.4 km,20388
Ožďany,"[48.37996321, 19.90244393]","16, 980 11 Ožďany, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",12 mins,712,10.5 km,10501
Padarovce,"[48.45429378, 20.05525745]","980 23 Padarovce, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",18 mins,1096,13.2 km,13214
Pavlovce,"[48.32515413, 20.09547262]","2771, 980 01 Pavlovce, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",14 mins,816,10.5 km,10475
Petrovce,"[48.19151159, 20.03774303]","2790, 980 35 Petrovce, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",34 mins,2014,29.7 km,29724
Poproč,"[48.58514481, 20.02632158]","Poproč 11, 982 67 Poproč, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",41 mins,2469,36.4 km,36420
Potok,"[48.55823932, 20.04944933]","Potok 2, 982 67 Potok, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",35 mins,2080,27.7 km,27724
Radnovce,"[48.33957315, 20.18983615]","Unnamed Road, 980 42 Radnovce, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",25 mins,1490,20.8 km,20830
Ratkovská Lehota,"[48.56254797, 20.09248387]","Ratkovská Lehota 40, 982 65 Ratkovská Lehota, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",41 mins,2476,30.6 km,30617
Ratkovská Suchá,"[48.58890472, 20.05992472]","982 67 Ratkovská Suchá, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",44 mins,2655,40.2 km,40160
Rimavská Baňa,"[48.52987996, 19.93089423]","72, 980 53 Rimavská Baňa, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",19 mins,1116,18.7 km,18689
Rimavská Seč,"[48.29638525, 20.2350626]","Unnamed Road, 980 42 Rimavská Seč, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",25 mins,1514,22.6 km,22645
Rimavské Brezovo,"[48.54293591, 19.96408077]","Rimavské Brezovo 126, 980 54 Rimavské Brezovo, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",22 mins,1315,21.1 km,21052
Rimavské Janovce,"[48.34548534, 20.06188178]","Rimavské Janovce 119, 980 01 Rimavské Janovce, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",10 mins,620,6.8 km,6826
Rovné,"[48.59807548, 20.03124666]","2756, 982 67 Rovné, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",43 mins,2587,39.3 km,39257
Rumince,"[48.36815605, 20.27587005]","Unnamed Road, 980 50 Rumince, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",29 mins,1736,27.1 km,27140
Slizké,"[48.5179847, 20.08141619]","Slizké 44, 980 23 Slizké, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",28 mins,1708,22.0 km,21967
Stará Bašta,"[48.18899295, 19.93525677]","Unnamed Road, 980 34 Stará Bašta, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",49 mins,2925,40.5 km,40509
Stránska,"[48.39393612, 20.27042975]","E571, 982 51 Stránska, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",21 mins,1287,22.2 km,22212
Studená,"[48.16016716, 19.9625486]","Studená 84, 980 34 Studená, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",48 mins,2887,41.4 km,41351
Sútor,"[48.35813473, 20.11963097]","Unnamed Road, 980 01 Sútor, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",22 mins,1298,18.0 km,17979
Šimonovce,"[48.27876546, 20.12118829]","980 03 Šimonovce, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",25 mins,1507,22.1 km,22075
Širkovce,"[48.28309181, 20.08894098]","Unnamed Road, 980 02 Širkovce, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",22 mins,1321,15.9 km,15904
Španie Pole,"[48.5258526, 20.13226986]","980 23 Španie Pole, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",35 mins,2100,25.5 km,25457
Štrkovec,"[48.35934321, 20.33415711]","980 45 Štrkovec, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",29 mins,1758,31.3 km,31312
Tachty,"[48.14268964, 19.9281474]","Unnamed Road, 980 34 Tachty, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",52 mins,3135,43.5 km,43524
Teplý Vrch,"[48.47309426, 20.10350401]","Teplý Vrch 25, 980 23 Teplý Vrch, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",22 mins,1294,16.0 km,15998
Tisovec,"[48.69705152, 19.91874276]","Hviezdoslavova 962, 980 61 Tisovec, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",42 mins,2510,39.4 km,39434
Tomášovce,"[48.38836781, 20.13881542]","Unnamed Road, 980 21 Tomášovce, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",17 mins,1010,11.5 km,11497
Uzovská Panica,"[48.41750622, 20.14843197]","980 22 Uzovská Panica, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",19 mins,1110,14.2 km,14233
Včelince,"[48.38204167, 20.31113357]","Unnamed Road, 980 50 Včelince, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",28 mins,1696,28.5 km,28521
Večelkov,"[48.15967135, 19.9198109]","Unnamed Road, 980 34 Večelkov, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",50 mins,3011,42.3 km,42290
Veľké Teriakovce,"[48.43180086, 19.95900944]","Veľké Teriakovce, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",11 mins,663,8.2 km,8189
Veľký Blh,"[48.44757221, 20.12164402]","Slobody 192, 980 22 Veľký Blh, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",20 mins,1178,14.5 km,14546
Vieska nad Blhom,"[48.35050444, 20.19344345]","Unnamed Road, 980 21 Vieska nad Blhom, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",22 mins,1300,18.6 km,18613
Vlkyňa,"[48.27893891, 20.2919437]","Unnamed Road, 980 44 Vlkyňa, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",37 mins,2223,32.1 km,32148
Valice,"[48.45453176, 20.20666095]","982 52 Valice, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",33 mins,1986,29.3 km,29291
Vyšný Skálnik,"[48.47506171, 19.96524516]","Unnamed Road, 980 52 Vyšný Skálnik, Slovakia",Rimavská Sobota,"[48.37911671, 20.00957841]","Tomašovská 10-12, 979 01 Rimavská Sobota-Sobôtka, Slovakia",18 mins,1106,13.3 km,13296
